data_set,Ants_number,Alpha,Beta,Evaporate_rate,Random_rate,nbr_iterations,cost,time
data/burma14.tsp,8,6.5,7.5,0.26,0.8,8,2921.6372843855597,0.18289661407470703
data/burma14.tsp,4,6.4,5.8,0.79,0.24,8,2890.892556619956,0.07297444343566895
data/burma14.tsp,2,3.2,0.4,0.69,0.58,5,2980.9524559351485,0.012975454330444336
data/burma14.tsp,7,6.9,3.9,0.77,0.94,10,3077.3751708393675,0.15790653228759766
data/burma14.tsp,3,4.9,4.9,0.46,0.56,2,2921.6372843855597,0.007995128631591797
data/burma14.tsp,7,4.1,3.5,0.33,0.82,3,3016.6182628516135,0.0379791259765625
data/burma14.tsp,3,2.5,1.3,0.29,0.82,5,3016.6182628516135,0.02498483657836914
data/burma14.tsp,8,6.4,6.1,0.77,0.8,3,2921.6372843855597,0.036978960037231445
data/burma14.tsp,3,1.6,8.6,0.9,0.55,4,2890.892556619956,0.020987749099731445
data/burma14.tsp,4,9.1,6.1,0.8,0.26,3,2967.9352866955687,0.01898932456970215
data/burma14.tsp,8,6.1,3.9,0.46,0.15,1,3247.3684996499655,0.014991283416748047
data/burma14.tsp,3,8.1,9.3,0.88,0.86,1,3953.143811739049,0.0059967041015625
data/burma14.tsp,8,9.4,5.4,0.46,0.05,9,2921.6372843855597,0.10394072532653809
data/burma14.tsp,3,4.0,2.4,0.72,0.29,6,3025.3778174171957,0.030982017517089844
data/burma14.tsp,5,7.8,8.9,0.18,0.34,4,3025.3778174171957,0.06396341323852539
data/burma14.tsp,3,9.5,8.9,0.09,0.91,7,3025.3778174171957,0.03497958183288574
data/burma14.tsp,2,1.2,1.7,0.13,0.43,4,2967.9352866955687,0.0139923095703125
data/burma14.tsp,3,5.8,4.5,0.71,0.3,7,3025.3778174171957,0.03997683525085449
data/burma14.tsp,3,4.1,8.9,0.5,0.72,10,2967.9352866955687,0.047972679138183594
data/burma14.tsp,5,2.4,6.1,0.22,0.41,8,3025.3778174171957,0.0739598274230957
data/burma14.tsp,5,2.8,7.0,0.58,0.28,9,2890.892556619956,0.09794211387634277
data/burma14.tsp,2,8.8,3.0,0.22,0.9,6,3016.6182628516135,0.017010211944580078
data/burma14.tsp,5,4.0,1.9,0.55,0.3,1,3332.8128808049146,0.008995294570922852
data/burma14.tsp,7,6.2,2.0,0.33,0.28,8,2859.272041389352,0.10991764068603516
data/burma14.tsp,4,1.2,1.9,0.95,0.45,4,3232.999392362358,0.03497886657714844
data/burma14.tsp,6,0.3,7.3,0.75,0.68,10,2890.892556619956,0.1459202766418457
data/burma14.tsp,3,0.2,7.2,0.55,0.43,3,3016.6182628516135,0.021984100341796875
data/burma14.tsp,4,0.7,3.8,0.06,0.65,9,2890.892556619956,0.07995820045471191
data/burma14.tsp,3,1.7,1.3,0.28,0.11,6,2890.892556619956,0.04696917533874512
data/burma14.tsp,3,2.2,4.7,0.32,0.93,10,2890.892556619956,0.07495713233947754
